stop_id,stop_lat,stop_lon,string_id,walk_node
60726,32.68233703,-117.042947,60726,3371
12049,32.71857729,-117.1556907,12049,15160
11656,32.7159774,-117.155664,11656,15598
11654,32.71692554,-117.155677,11654,15447
12048,32.71348748,-117.1556319,12048,15934
12050,32.71023346,-117.1556017,12050,16408
11657,32.71176685,-117.1556402,11657,16236
99005,32.70750534,-117.1550698,99005,289
99367,32.71769488,-117.154586,99367,15301
12782,32.71635101,-117.1545657,12782,15451
99343,32.7165295,-117.154587,99343,15451
12781,32.7139981,-117.1545903,12781,15936
99010,32.70833408,-117.1544996,99010,145
12441,32.71139567,-117.1545343,12441,16240
75102,32.70587009,-117.1532179,75102,535
75103,32.70578492,-117.1533259,75103,535
75100,32.70523403,-117.1538999,75100,516
70009,32.7060948,-117.1528967,70009,486
88899,32.70555096,-117.1522829,88899,565
91101,32.70605117,-117.1532246,91101,446
91102,32.70560244,-117.152947,91102,535
88984,32.71373903,-117.1519106,88984,15939
99288,32.66808777,-117.1008249,99288,4400
99281,32.66787097,-117.1007773,99281,4400
50140,32.6659013,-117.1077704,50140,4514
99282,32.66620281,-117.1074939,99282,4514
99286,32.66964963,-117.0951273,99286,4283
99315,32.66937711,-117.0955894,99315,4283
99285,32.67077924,-117.0911119,99285,4204
99316,32.67070397,-117.0908642,99316,4204
50008,32.67125056,-117.0889002,50008,4161
50065,32.67136504,-117.089041,50065,4166
59003,32.6671752,-117.1032206,59003,4436
99308,32.66712191,-117.104169,99308,4448
50011,32.67279173,-117.0833353,50011,4063
50082,32.6726873,-117.0841467,50082,4063
50040,32.67183694,-117.0867383,50040,4135
50068,32.67196519,-117.086876,50068,4135
50012,32.67364475,-117.0803374,50012,4010
50083,32.67360803,-117.0808927,50083,4010
12411,32.71964764,-117.1637294,12411,14982
12751,32.71553186,-117.1637498,12751,15584
99118,32.715926,-117.1637493,99118,15584
11637,32.74341279,-117.163901,11637,11422
12759,32.7434827,-117.1637391,12759,11422
60546,32.71686628,-117.1637103,60546,15434
12753,32.72431993,-117.163755,12753,14442
12415,32.72595816,-117.1637395,12415,14193
12756,32.72844805,-117.1637751,12756,13901
11636,32.72943597,-117.1639837,11636,13761
12014,32.73113997,-117.1639948,12014,13448
12757,32.73158666,-117.1638011,12757,13448
12016,32.73322041,-117.1640197,12016,13126
12417,32.73332364,-117.1638126,12417,13126
12416,32.73649246,-117.1638422,12416,12582
12015,32.73759311,-117.1640455,12015,12431
12018,32.74677674,-117.1639326,12018,10662
12418,32.74715709,-117.1637902,12418,10662
12412,32.73856748,-117.1638572,12412,12292
12013,32.73955812,-117.1640692,12013,12141
12414,32.74066723,-117.1638725,12414,11948
12017,32.74119891,-117.1640797,12017,11807
12758,32.74194644,-117.1637167,12758,11808
50029,32.66274886,-117.0986256,50029,4710
50078,32.66315798,-117.0978855,50078,4693
50027,32.66209762,-117.1009945,50027,4751
50053,32.66220853,-117.1012523,50053,4751
75014,32.66196491,-117.1080061,75014,4747
75015,32.66170409,-117.1080052,75015,4747
91136,32.66195902,-117.1079043,91136,4747
91138,32.66162193,-117.1077646,91138,4799
91139,32.66157522,-117.1073677,91139,4799
75074,32.70527695,-117.138731,75074,599
75075,32.70528997,-117.1411539,75075,637
11684,32.71611353,-117.1403651,11684,15536
11682,32.70648888,-117.1402776,11682,453
12464,32.70610834,-117.1400689,12464,453
12466,32.71043145,-117.1401093,12466,16415
12076,32.70923456,-117.1402891,12076,8
12465,32.70832625,-117.1400881,12465,153
60220,32.69647225,-117.1381384,60220,1842
11639,32.72013133,-117.1629931,11639,14983
11640,32.7210545,-117.1630384,11640,14859
12020,32.72383894,-117.163012,12020,14443
11641,32.72525162,-117.1630201,11641,14316
13532,32.71882529,-117.1293964,13532,15179
13533,32.7187603,-117.1296461,13533,15179
12089,32.76258874,-117.1303147,12089,7362
11694,32.71710835,-117.1296589,11694,15475
12099,32.72322478,-117.130289,12099,14565
12091,32.74399356,-117.130142,12091,11230
12478,32.74410477,-117.1299642,12478,11230
11692,32.75555853,-117.1302477,11692,8916
12476,32.75494144,-117.1300627,12476,9070
12818,32.72465551,-117.1300789,12818,14413
11696,32.72563542,-117.130261,11696,14290
12474,32.72641717,-117.1300965,12474,14155
50037,32.659281,-117.0904954,50037,4892
50062,32.65937404,-117.0909577,50062,4901
12084,32.75422334,-117.1302435,12084,9199
12475,32.75394371,-117.1300657,12475,9199
12096,32.72985318,-117.1296593,12096,13723
12828,32.72989275,-117.1295069,12828,13723
50197,32.66042553,-117.0870947,50197,4863
99491,32.66028741,-117.0867912,99491,4863
12086,32.75896658,-117.1302623,12086,8143
12822,32.7594159,-117.1300781,12822,8143
12093,32.7471599,-117.1301346,12093,10630
12479,32.74722434,-117.1299628,12479,10630
12082,32.75199656,-117.1302349,12082,9602
12819,32.7524596,-117.1300541,12819,9602
11697,32.73753465,-117.1293587,11697,12482
12830,32.7376566,-117.1292169,12830,12482
11693,32.74863258,-117.1302078,11693,10390
12824,32.74879854,-117.1300599,12824,10390
75072,32.70576993,-117.124753,75072,530
75073,32.70577705,-117.1245239,75073,532
10563,32.70530322,-117.1168921,10563,9715
12508,32.70469927,-117.1081447,12508,719
99481,32.74954555,-117.1094792,99481,10179
60622,32.74424673,-117.1070664,60622,11314
60621,32.74575307,-117.107042,60621,10921
12512,32.69048329,-117.1023054,12512,2603
12860,32.68921909,-117.1022899,12860,5189
99148,32.68911845,-117.1025359,99148,2741
12513,32.69204751,-117.1022587,12513,2483
13432,32.69139698,-117.102532,13432,2511
12131,32.69404973,-117.1024666,12131,2214
12514,32.69384496,-117.1022696,12514,2214
11724,32.696003,-117.1025993,11724,4570
12530,32.72002491,-117.0934026,12530,15016
12529,32.71669902,-117.0934326,12529,15526
12151,32.71406692,-117.0936935,12151,15877
12154,32.72088083,-117.0936384,12154,14936
12531,32.72122317,-117.0934141,12531,14847
12527,32.7120654,-117.0933818,12527,16196
11738,32.71025999,-117.0937318,11738,16516
12528,32.71490964,-117.093448,12528,15792
12152,32.71785727,-117.093668,12152,15381
12150,32.70337456,-117.093796,12150,814
88890,32.70373879,-117.0935066,88890,814
12878,32.6973678,-117.0935825,12878,1835
12149,32.70020269,-117.0938111,12149,1327
12880,32.7007264,-117.0935918,12880,1327
11737,32.69828973,-117.0938123,11737,1570
12879,32.69885748,-117.0935837,12879,1570
88891,32.70832954,-117.0937979,88891,135
75070,32.70843908,-117.0948191,75070,87
75071,32.70844807,-117.0950721,75071,87
12035,32.71954557,-117.1611792,12035,14986
12036,32.71725334,-117.161175,12036,15437
12028,32.74314665,-117.1616087,12028,11426
12032,32.72173583,-117.1612214,12032,14743
11642,32.72320918,-117.1612008,11642,14590
11643,32.7252924,-117.1612224,11643,14320
12034,32.71236153,-117.1611017,12034,16097
12039,32.72697159,-117.161243,12039,14053
12042,32.72906042,-117.1612483,12042,13765
11644,32.73153127,-117.1612576,11644,13454
12040,32.73326267,-117.1612788,12040,13135
12037,32.73678491,-117.161352,12037,12586
12025,32.74661233,-117.1616348,12025,10666
11645,32.73884183,-117.1613235,11645,12290
12027,32.74775835,-117.1616499,12027,10372
12041,32.74061451,-117.1613386,12041,11949
50013,32.68735067,-117.0792346,50013,2875
50042,32.68633414,-117.0828425,50042,2979
59018,32.68621318,-117.0840666,59018,2979
50030,32.68186008,-117.0988908,50030,3363
50032,32.68245177,-117.0967807,50032,3311
99305,32.68258034,-117.0968697,99305,3311
99304,32.6830339,-117.0952588,99304,3269
50006,32.6839792,-117.0912671,50006,3155
99303,32.68417427,-117.0912787,99303,3155
50041,32.68530337,-117.0865086,50041,3051
99302,32.6853627,-117.0870812,99302,3051
12551,32.75129674,-117.0792998,12551,5329
12909,32.73613764,-117.0794693,12909,12843
12187,32.75738899,-117.0794743,12187,8449
12914,32.75830609,-117.0791999,12914,8449
12172,32.72578842,-117.0833064,12172,14272
11760,32.73613024,-117.0797522,11760,12841
11759,32.73094605,-117.0798302,11759,13634
12907,32.73097532,-117.0795638,12907,13640
12183,32.74541297,-117.0795957,12183,11019
12910,32.74657735,-117.0793335,12910,10825
12550,32.74121722,-117.0794163,12550,12002
12179,32.73362074,-117.0797708,12179,13154
12908,32.73398522,-117.0795206,12908,13154
11756,32.7289662,-117.0803774,11756,13894
12545,32.7285975,-117.0804357,12545,13927
11761,32.73787296,-117.0797263,11761,12518
12549,32.73753409,-117.079437,12549,12520
12182,32.74213649,-117.0796364,12182,11809
12548,32.74288868,-117.0793605,12548,3978
12185,32.75434603,-117.0795302,12185,9124
12912,32.75521402,-117.0792001,12912,9124
12186,32.7482331,-117.0795702,12186,10492
12552,32.74807569,-117.0792728,12552,10492
12913,32.75010505,-117.0792509,12913,9673
99495,32.72491114,-117.083789,99495,14404
11767,32.70031391,-117.0732909,11767,1391
12923,32.70022125,-117.073173,12923,1391
12765,32.71803122,-117.1600516,12765,15294
12766,32.7212655,-117.16015,12766,14865
12426,32.71562882,-117.1600788,12426,15593
12429,32.74323347,-117.1602729,12429,11428
12434,32.71656915,-117.1600333,12434,15438
12427,32.72392918,-117.1600995,12427,14452
12425,32.71274025,-117.160062,12425,16093
12771,32.72745521,-117.1601424,12771,14054
12770,32.72954404,-117.1601477,12770,13766
12767,32.73152516,-117.1602235,12767,13455
12772,32.73375181,-117.1601749,12772,13138
12432,32.74505579,-117.1602657,12432,11057
12439,32.73682571,-117.1601804,12439,12580
12430,32.74847984,-117.1603466,12430,10326
12431,32.74804585,-117.1603096,12431,10326
12773,32.74087179,-117.1602943,12773,11950
99441,32.70453869,-117.1615507,99441,420
99236,32.71342667,-117.0579608,99236,16134
12966,32.76912778,-117.0469489,12966,6494
12232,32.77064913,-117.0471514,12232,6266
12573,32.77066995,-117.0469076,12573,6266
99098,32.77214037,-117.0417872,99098,6073
75032,32.772147,-117.0422951,75032,5999
75033,32.77229008,-117.0424841,75033,5999
10600,32.67653456,-117.1039092,10600,3801
13411,32.67683388,-117.1035513,13411,3787
11358,32.67737441,-117.1016977,11358,3751
10228,32.67756198,-117.1004061,10228,3731
99486,32.6781033,-117.0992284,99486,3683
10593,32.6759728,-117.1060453,10593,3836
75016,32.67501911,-117.1130951,75016,15096
75017,32.67473308,-117.1130819,75017,15096
70050,32.67446741,-117.1130273,70050,15096
70052,32.67489492,-117.113207,70052,15096
70053,32.67507851,-117.1132867,70053,15096
70054,32.67533901,-117.1133738,70054,15096
70055,32.67552812,-117.1134504,70055,15096
12438,32.71648316,-117.1564072,12438,15443
10160,32.76282743,-117.1303757,10160,7362
11297,32.76298262,-117.1305821,11297,7361
10554,32.76331293,-117.1247171,10554,7264
10937,32.76349122,-117.1247676,10937,7264
10188,32.76329493,-117.1229896,10188,7269
10939,32.76345102,-117.1226821,10939,7269
10564,32.76327039,-117.1202373,10564,7277
10198,32.76325179,-117.1174135,10198,7283
11327,32.76341841,-117.1175616,11327,7283
10581,32.76322081,-117.1108487,10581,7303
11342,32.76338323,-117.1112049,11342,7301
10140,32.76280518,-117.1377011,10140,7345
10900,32.76296473,-117.1369187,10900,7347
10224,32.76317276,-117.1043163,10224,7326
11354,32.76331745,-117.1044576,11354,7326
10169,32.76283621,-117.1283719,10169,7367
10577,32.76323842,-117.1138351,10577,7293
11335,32.76340212,-117.1143995,11335,7293
10507,32.76241147,-117.1435069,10507,7455
11266,32.76256161,-117.1440289,11266,7455
10947,32.76343392,-117.119263,10947,7278
10540,32.7628182,-117.1335895,10540,7355
10594,32.76319826,-117.1069807,10594,7318
10973,32.76334272,-117.1071546,10973,7318
10518,32.76280365,-117.139822,10518,7342
11271,32.76294882,-117.1402724,11271,7342
11291,32.76297665,-117.1329568,11291,7357
10549,32.76324203,-117.1265738,10549,7268
10933,32.76348527,-117.1263811,10933,7268
99087,32.71029635,-117.0637806,99087,16524
88933,32.68129156,-117.0607294,88933,3449
50092,32.6790786,-117.0684063,50092,3614
88934,32.68004863,-117.0653231,88934,3554
13410,32.76615486,-117.0221565,13410,6970
10326,32.7659153,-117.0195877,10326,6978
40383,32.76611671,-117.0176995,40383,6983
10324,32.76596372,-117.0215172,10324,6972
75064,32.77730903,-117.0567069,75064,5605
75065,32.77742199,-117.0569181,75065,5605
75084,32.71638588,-117.1688111,75084,15429
75085,32.7166269,-117.1688139,75085,15429
97004,32.72000249,-117.171816,97004,14967
59009,32.69368921,-117.0692895,59009,2234
40244,32.71787302,-117.1598874,40244,15294
75018,32.69812698,-117.146665,75018,1529
75019,32.69788609,-117.1464559,75019,15230
11763,32.72316573,-117.0789116,11763,14531
13109,32.72316717,-117.078697,13109,14531
12190,32.72389346,-117.0781868,12190,14531
12916,32.72400572,-117.07784,12916,14531
12195,32.72763262,-117.0755459,12195,14077
12555,32.72789201,-117.0753922,12555,14077
11764,32.72555551,-117.075845,11764,14389
12919,32.72551533,-117.0756886,12919,14389
10167,32.72122117,-117.1295114,10167,14825
11300,32.72137939,-117.1296788,11300,14825
10489,32.71569692,-117.1500495,10489,15604
10863,32.71584694,-117.1502071,10863,15604
10840,32.71585513,-117.1636705,10840,15584
13314,32.71564979,-117.1639331,13314,15584
10119,32.71572127,-117.1459499,10119,15616
10873,32.71587176,-117.1456654,10873,15616
10504,32.71573459,-117.143736,10504,15619
10878,32.71587945,-117.143848,10878,15619
10134,32.71575334,-117.1407646,10134,15622
13313,32.71577614,-117.1627938,13313,15587
10094,32.71561383,-117.1621074,10094,15591
10841,32.71579056,-117.1608803,10841,15592
10097,32.71566019,-117.160297,10097,15593
13312,32.71576782,-117.160051,13312,15593
99237,32.71596284,-117.0572265,99237,15572
99238,32.7158316,-117.0575407,99238,15676
10099,32.71566351,-117.1594745,10099,15594
13088,32.74266336,-117.0451193,13088,11736
40918,32.74238868,-117.0459461,40918,11736
13311,32.71578215,-117.157323,13311,15596
13315,32.71565037,-117.1566298,13315,15597
40130,32.74255179,-117.0337779,40130,11695
40364,32.74281513,-117.0347233,40364,11695
10836,32.71580373,-117.1672626,10836,15579
10090,32.71559826,-117.1649521,10090,15583
10724,32.74267388,-117.0270762,10724,11676
11463,32.74289609,-117.027579,11463,11676
10454,32.71562174,-117.1688181,10454,15577
10833,32.71585722,-117.1689376,10833,15577
99239,32.71583871,-117.053506,99239,15681
11458,32.74283905,-117.0313868,11458,11688
10701,32.7424446,-117.0423822,10701,11724
11441,32.74269114,-117.0433666,11441,11724
10828,32.71584424,-117.1717823,10828,15574
99026,32.71559841,-117.1704727,99026,15576
10109,32.71570092,-117.1540128,10109,15601
99342,32.71583248,-117.1540629,99342,15601
40981,32.74407958,-117.0216281,40981,11244
10086,32.7155689,-117.1666847,10086,15580
99258,32.74485626,-117.020051,99258,11221
99259,32.74507808,-117.0201798,99259,11221
10839,32.71582801,-117.1659175,10839,15582
40021,32.743241,-117.0234289,40021,11559
40380,32.74351409,-117.023272,40380,11549
10705,32.74268804,-117.0387061,10705,11701
10708,32.74249558,-117.0382849,10708,11703
10720,32.69910321,-117.030388,10720,1525
99233,32.71324653,-117.0623709,99233,16128
99235,32.7132456,-117.0583297,99235,16134
99234,32.71311932,-117.0608189,99234,16129
10138,32.71680461,-117.1382912,10138,15469
11280,32.71695476,-117.1384325,11280,15469
10532,32.71681943,-117.1358497,10532,15470
10904,32.71697047,-117.1358674,10904,15470
10148,32.71683051,-117.1343054,10148,15471
11288,32.71698302,-117.1341184,11288,15471
10166,32.71680897,-117.1304005,10166,15475
99260,32.778567,-117.1189016,99260,5511
99263,32.77077838,-117.1319842,99263,6198
99262,32.77382673,-117.12461,99262,5751
13009,32.77769352,-117.1180438,13009,5511
10210,32.77785771,-117.1154068,10210,5489
13079,32.77809237,-117.1050044,13079,5447
10615,32.77668827,-117.1005725,10615,5588
10556,32.77468311,-117.12361,10556,5751
13043,32.7779437,-117.107417,13043,5490
10194,32.77667102,-117.1203925,10194,5596
13158,32.77105959,-117.0717334,13158,6184
11808,32.71870598,-117.0259415,11808,15356
12975,32.71896011,-117.0257389,12975,15356
12246,32.71632811,-117.0255727,12246,15829
12584,32.71513046,-117.0250257,12584,15829
60327,32.70111876,-117.1443907,60327,1171
75090,32.71628902,-117.1541729,75090,15450
75091,32.71623012,-117.1542221,75091,15601
75086,32.71671,-117.1624709,75086,15435
75087,32.71677298,-117.162429,75087,15436
11781,32.75747581,-117.0664576,11781,8534
12937,32.75804089,-117.0662091,12937,8498
12205,32.77616075,-117.0680167,12205,5615
12562,32.77558868,-117.0676601,12562,1159
12209,32.76500628,-117.066934,12209,7068
12934,32.76554354,-117.0667373,12934,7068
12952,32.74571257,-117.058478,12952,11082
11791,32.74466111,-117.0549299,11791,5077
12962,32.74466098,-117.054107,12962,5077
99250,32.7439908,-117.0531936,99250,11435
99650,32.74433013,-117.0533375,99650,5522
12203,32.7684996,-117.0685962,12203,6559
10262,32.76195317,-117.0668634,10262,7623
12207,32.76064058,-117.0670985,12207,7903
12564,32.76063425,-117.0668089,12564,7903
99040,32.76227535,-117.0667721,99040,7522
12963,32.74160006,-117.0501635,12963,5515
12929,32.77223524,-117.0697729,12929,5997
12206,32.76658652,-117.0673716,12206,6817
12563,32.76661551,-117.0671441,12563,6817
12931,32.76877504,-117.0685077,12931,6530
99097,32.77291614,-117.0698833,99097,5187
11778,32.76212247,-117.0670309,11778,7623
10685,32.74546708,-117.0581928,10685,11082
12215,32.75247601,-117.0644207,12215,9688
12943,32.75324258,-117.0644603,12943,9550
12176,32.76135727,-117.0824132,12176,7668
12171,32.76401049,-117.0834988,12171,7153
12170,32.7663783,-117.0837066,12170,6809
12896,32.76694425,-117.0837412,12896,6809
11755,32.76000436,-117.0808781,11755,8040
12904,32.76011275,-117.0807002,12904,8040
60771,32.76928628,-117.0857283,60771,6462
75096,32.70898098,-117.1634631,75096,16538
75097,32.70881988,-117.16332,75097,16538
75080,32.72149387,-117.169898,75080,14733
75081,32.72136294,-117.169985,75081,14846
75109,32.71671555,-117.1660236,75109,15432
99344,32.6780342,-117.0571458,99344,3680
60810,32.67537274,-117.0639751,60810,3887
60811,32.67611831,-117.0613626,60811,3856
50116,32.66282914,-117.0973429,50116,4720
50117,32.66123108,-117.0967167,50117,4787
50149,32.66131996,-117.0965811,50149,4787
50118,32.65862696,-117.095704,50118,4910
50080,32.6584253,-117.0954519,50080,4949
50139,32.67145404,-117.1005194,50139,4181
50194,32.67124997,-117.1006182,50194,4181
50110,32.68020793,-117.1041072,50110,3492
50145,32.68034354,-117.103972,50145,3492
50147,32.67767625,-117.1029615,50147,3703
50095,32.67714062,-117.1029141,50095,3773
99289,32.67514905,-117.1019622,99289,3885
99290,32.67538897,-117.102244,99290,3885
12972,32.69602093,-117.0297139,12972,1973
99114,32.69295657,-117.0732352,99114,2397
50071,32.69095699,-117.0804159,50071,2596
50081,32.68952575,-117.0855963,50081,2698
59013,32.6893702,-117.0854323,59013,2698
50086,32.69144977,-117.0786621,50086,2541
50054,32.68536435,-117.1004943,50054,3049
59010,32.68507606,-117.100849,59010,3049
50067,32.68811141,-117.0906857,50067,2839
99311,32.68777031,-117.091131,99311,2839
99310,32.68712753,-117.093491,99310,2889
99313,32.6872719,-117.0936809,99313,2889
50026,32.68102893,-117.1018402,50026,3442
50077,32.68102533,-117.1023602,50077,3442
99306,32.68156334,-117.1004707,99306,3404
50034,32.6829447,-117.0950402,50034,3257
10543,32.75521009,-117.1297759,10543,8916
11296,32.75549333,-117.1305268,11296,8916
10189,32.75515457,-117.1224991,10189,8939
10942,32.75542033,-117.1218414,10942,8941
10190,32.75515393,-117.1175225,10190,8959
10196,32.75513002,-117.1181858,10196,8955
11329,32.75539432,-117.117733,11329,8955
11334,32.75540376,-117.1183446,11334,8952
10201,32.75511258,-117.1155825,10201,8965
11333,32.75538371,-117.1161131,11333,8964
10204,32.75509992,-117.1138594,10204,8970
10960,32.7553639,-117.1134489,10960,8970
11344,32.75534847,-117.1113313,11344,8975
10609,32.75501257,-117.1015147,10609,9022
10986,32.75528888,-117.1017028,10986,9021
10247,32.75669001,-117.0869294,10247,8682
10639,32.75724196,-117.0829403,10639,8580
11013,32.75740124,-117.0833679,11013,8625
10250,32.75787567,-117.0786266,10250,8437
10257,32.7576761,-117.0796949,10257,8449
11389,32.75786887,-117.080048,11389,8449
10655,32.75841879,-117.0746861,10655,8377
11399,32.75854263,-117.0750743,11399,8377
10659,32.75871553,-117.0726429,10659,8334
10665,32.75972655,-117.070229,10665,8070
11033,32.75990727,-117.0703315,11033,8070
10679,32.76373731,-117.0626446,10679,7285
11418,32.76349878,-117.0638069,11418,7300
11053,32.76873316,-117.0527067,11053,6570
10691,32.76855582,-117.0508118,10691,6556
10697,32.76862142,-117.0466223,10697,6548
11438,32.7688439,-117.0474962,11438,6548
10303,32.76872907,-117.0405659,10303,6535
11445,32.76894484,-117.0407793,11445,6535
10129,32.75513971,-117.1426363,10129,8903
11270,32.75544263,-117.1429353,11270,8903
11406,32.75915208,-117.0718858,11406,8239
11010,32.75707862,-117.085554,11010,8664
10139,32.7551642,-117.1377184,10139,8909
10682,32.76504358,-117.0604446,10682,7093
11044,32.76517643,-117.0607223,11044,7093
