MGRA,nodes
9541,"[1050, 1057, 987, 986, 1007, 31, 1051, 12, 1055, 1056, 2, 1054, 985, 984]"
950,"[252, 245, 239]"
9446,"[1035, 1036]"
9439,"[30, 1049, 1047, 1046, 1048]"
9430,"[119, 1042, 1034]"
9428,"[158, 159, 152]"
9424,"[1020, 1021]"
9418,"[155, 1041, 137, 129, 121, 156, 1040, 1038, 128, 1043]"
9416,"[108, 110]"
9415,"[115, 95]"
9414,"[97, 80, 111, 98, 81, 82, 109, 79]"
9413,"[94, 62, 1030, 112]"
9411,"[96, 66, 116]"
9410,"[50, 46, 1026, 1028, 118, 1031, 1029]"
9408,"[64, 51, 63, 1032]"
9404,"[143, 141]"
9402,"[176, 139]"
9397,"[122, 125]"
9396,"[107, 93, 92, 77, 1025]"
9395,"[90, 89, 101, 103]"
9394,"[86, 85, 74, 104, 87]"
9393,"[78, 72]"
9391,"[71, 54, 1065, 1066, 53, 105, 1009, 67, 106, 73, 41]"
9389,"[39, 42, 37, 38]"
9388,"[75, 61, 32, 34, 35, 966, 970, 969, 973, 971, 968, 965, 36, 967, 974, 972]"
9386,"[58, 56, 43, 1033, 1052, 1053]"
9385,"[29, 1045, 52, 47, 55, 1061, 1062, 1044]"
9383,"[1078, 1079, 45, 14]"
9381,"[1059, 7, 10, 990, 24, 27, 18, 17, 25, 1]"
9380,"[11, 3, 9, 8, 20, 0]"
9377,"[334, 323, 265, 266, 336, 278, 277, 297, 275, 276]"
9376,"[234, 235, 262]"
9375,"[203, 204, 202, 249, 248]"
9374,"[208, 185]"
9373,"[205, 183]"
9372,"[165, 144]"
9371,"[290, 282, 309, 952, 281, 308, 953]"
9370,"[293, 291, 269]"
9369,"[299, 295]"
9366,"[274, 243, 315, 941, 942]"
9365,"[222, 221, 240, 219, 216, 1022, 257, 241]"
9364,"[247, 246]"
9359,"[1018, 214, 212]"
9358,"[211, 209, 210, 190, 164, 191, 206, 181, 163]"
9355,"[161, 150]"
9354,"[166, 147]"
9352,"[167, 145]"
9351,"[434, 430, 403, 395, 390]"
9350,"[326, 325, 422, 396, 374, 368, 369, 397, 238]"
9349,"[320, 322, 400, 389, 337, 388, 391]"
9348,"[324, 321, 318, 270]"
9347,"[379, 377, 348, 319, 376, 378, 316, 317, 346, 365]"
9346,"[1001, 1002, 998, 1004, 1003, 997, 995]"
9345,"[825, 794, 848, 801, 837, 810, 1000, 1091]"
9344,"[793, 716, 781]"
9343,"[758, 765, 757, 751, 722, 728]"
9342,"[705, 712, 715, 693, 741, 749, 1092]"
9341,"[697, 680, 645, 627, 709]"
9340,"[684, 682, 979, 681, 707]"
9339,"[639, 632, 660, 652, 634, 670]"
9338,"[522, 528, 600, 586]"
9337,"[649, 657, 635, 630, 620, 601]"
9336,"[618, 567, 602, 538]"
9335,"[578, 579, 1095, 1096, 1098, 1097]"
9333,"[507, 464, 539, 474]"
9332,"[461, 459, 457, 495, 482, 514, 483, 456, 497, 484, 404]"
9331,"[458, 460, 946, 945]"
9330,"[743, 721, 717, 696]"
9329,"[654, 626, 651]"
9328,"[647, 591, 633, 628, 692, 689, 706, 642]"
9327,"[616, 575, 623, 622, 1087, 1088, 595, 576]"
9324,"[547, 492, 569, 517, 566, 1063, 519]"
9323,"[513, 512, 574, 545, 515, 950, 951, 948, 505, 506, 503]"
9322,"[1024, 1023, 1016, 1017, 1013, 1011, 1014, 466, 1015, 1012]"
9321,"[426, 408, 412, 410, 331]"
9320,"[465, 467, 437, 405, 387, 398, 371, 370, 445, 416, 1080, 1081, 332]"
9319,"[381, 328, 943, 329, 944]"
9318,"[842, 822, 827, 818, 807, 847, 831, 834]"
9317,"[833, 812]"
9316,"[859, 840, 811]"
9315,"[804, 785, 763, 750, 742, 796, 733, 734, 786, 752]"
9314,"[869, 862]"
9312,"[896, 897, 912, 908, 900, 909, 983, 911]"
9309,"[888, 889, 892, 899, 902, 875]"
9308,"[891, 894, 904, 906, 905, 903, 890, 871]"
9307,"[887, 855, 876, 877, 893, 886, 1005, 1093, 1094]"
9306,"[868, 873, 813, 878]"
9305,"[865, 863]"
9304,"[854, 856, 829, 836, 841, 858, 839, 860]"
9303,"[779, 770, 828, 808, 803, 832, 940, 844, 845, 874, 861, 762]"
9302,"[820, 806, 798, 824]"
9301,"[766, 784, 790]"
9300,"[768, 737, 783, 795]"
9298,"[773, 725, 835, 816, 815, 772, 726, 774, 814, 846, 817, 1008, 771, 744]"
9297,"[761, 745, 760, 747, 780, 788]"
9296,"[704, 698, 736, 708, 738, 739, 735, 724, 714, 699, 723, 731, 732, 767]"
9293,"[676, 658]"
9291,"[686, 677, 690, 695, 713, 720, 691, 678]"
9285,"[640, 598, 663, 587, 589, 580, 588, 581]"
9284,"[631, 637, 585, 641]"
9282,"[599, 553, 552, 554, 555, 556, 610, 617, 476, 551]"
9280,"[441, 442, 440, 543, 542, 511, 502]"
9277,"[778, 753, 672, 673, 936, 669, 675]"
9276,"[729, 668, 703, 662, 719, 711, 665, 666, 664]"
9274,"[958, 619, 646, 621, 960, 648]"
9273,"[643, 624, 659, 650, 629, 994, 993, 625, 1085, 1084, 937]"
9272,"[613, 564, 612]"
9271,"[590, 583, 644, 636, 607, 596, 565, 568]"
9270,"[603, 593, 614, 592, 582, 577, 597, 584, 573, 594, 992, 991, 546]"
9269,"[489, 475, 451]"
9268,"[500, 516, 548, 523, 541, 559, 455, 453]"
9267,"[402, 393, 411, 419, 353, 413, 420, 394]"
9266,"[433, 427, 359, 488, 487]"
9264,"[354, 355, 452]"
9262,"[797, 792, 789, 870, 853, 864, 857, 802, 852, 866, 782, 881, 978, 800, 879, 882, 884, 883]"
9261,"[850, 838, 851]"
9260,"[809, 787, 769, 826, 805, 791, 823]"
9258,"[764, 748, 727, 775]"
9256,"[700, 701, 730, 718, 740, 746, 759, 755, 756]"
9255,"[687, 671, 688, 667, 674, 702]"
9254,"[655, 656, 638, 938, 939, 957, 959, 653]"
9253,"[570, 560, 558, 561]"
9252,"[392, 343, 342]"
9250,"[386, 367, 424, 340]"
9249,"[310, 311, 306]"
9248,"[341, 285, 287]"
9247,"[251, 253, 288, 286, 227]"
9246,"[224, 225]"
9245,"[201, 199]"
9243,"[169, 170, 132, 136, 124]"
9242,"[179, 134]"
9241,"[226, 200, 177, 131]"
9240,"[298, 263, 261, 961, 962, 268, 964, 302]"
9239,"[255, 256, 232, 273, 254, 1082, 284, 305, 289]"
9237,"[189, 196, 218]"
9236,"[192, 217, 188]"
9235,"[304, 335, 312, 294, 314, 198, 976, 350]"
9234,"[173, 153, 174, 154, 171, 160, 168, 133, 140]"
9232,"[127, 91, 88, 84, 981, 980]"
9230,"[178, 175, 151, 157, 123, 100, 135, 947]"
9229,"[68, 48, 70, 44]"
9228,"[1064, 508, 496, 498, 535, 518, 509, 510]"
9227,"[448, 449, 471, 472, 450]"
9226,"[446, 447, 540, 534, 486, 477, 533, 485, 470]"
9224,"[415, 401, 384]"
9223,"[428, 431]"
9222,"[349, 327, 345, 303, 300, 301, 352, 313, 330, 351, 347, 307, 1083]"
9221,"[230, 250, 259, 228, 242, 229, 1072, 258, 1073, 271]"
9220,"[194, 195, 231]"
9039,"[60, 59, 102, 99, 57, 76, 172]"
9036,"[33, 26, 22, 40, 19, 15, 69, 28, 21, 13, 23, 16]"
1386,"[830, 819]"
1372,"[895, 872, 910]"
1369,"[867, 849]"
1362,"[930, 924, 928, 918, 919, 927]"
1361,"[929, 920, 933, 923, 932, 921, 922, 931, 914]"
1343,"[926, 915, 916, 917, 925, 913]"
1334,"[907, 999, 901, 885, 1006, 996]"
1300,"[615, 572, 609, 544, 550, 1089, 611]"
1297,"[1090, 490, 491, 532, 504]"
1296,"[429, 432, 414, 454, 444, 521]"
1295,"[524, 494, 527, 481, 468, 478, 501, 525, 526, 529]"
1291,"[399, 380, 417, 409, 480, 436, 358, 366, 407, 383, 425, 372, 418, 421, 385, 382, 954, 955, 956, 469, 463, 375, 373, 356, 339]"
1289,"[364, 280, 215, 272]"
1288,"[1037, 180, 1039, 126]"
1046,"[279, 338, 571]"
9275,"[361, 360, 975, 362]"
9294,[694]
9287,[661]
9295,"[777, 685]"
9281,[683]
9290,[679]
9283,[557]
9279,[439]
9225,[443]
9311,[898]
9257,"[799, 776]"
1293,[438]
1294,"[1086, 520]"
1290,[333]
9251,[344]
1387,[821]
9238,"[223, 963, 233]"
9265,[357]
9233,"[292, 283]"
9231,[83]
9390,[49]
9398,[130]
9542,[1058]
9382,[1060]
9378,[296]
9367,"[260, 236]"
9362,[237]
9405,"[184, 182]"
9403,[142]
9399,[138]
9412,"[114, 65]"
9417,[113]
9356,[146]
9357,"[149, 982]"
9419,[117]
9409,[1027]
9421,[120]
9429,"[187, 186]"
9363,"[213, 1019]"
9427,[197]
9426,[162]
9353,[148]
9325,"[949, 493, 549]"
9326,"[563, 562]"
9334,"[462, 473, 423]"
9361,"[264, 207]"
9360,"[244, 267]"
