from_node,to_node,distance,travel_time,link_type,route_id,route_type
10698,10704,0.197595978,23.71151736,0,[4],3
10704,10698,0.197595978,23.71151736,0,[4],3
10704,10707,0.045360083,5.44320996,0,[4],3
10707,10704,0.045360083,5.44320996,0,[4],3
10707,13021,0.08077823,9.6933876,0,[4],3
13021,10707,0.08077823,9.6933876,0,[4],3
13021,10714,0.068972181,8.27666172,0,[4],3
10714,13021,0.068972181,8.27666172,0,[4],3
10714,10312,0.123031458,14.76377496,0,[4],3
10312,10714,0.123031458,14.76377496,0,[4],3
10312,13023,0.103147586,12.37771032,0,[4],3
13023,10312,0.103147586,12.37771032,0,[4],3
13023,10319,0.129866539,15.58398468,0,[4],3
10319,13023,0.129866539,15.58398468,0,[4],3
11466,13118,0.124895571,14.98746852,0,[4],3
13118,11466,0.124895571,14.98746852,0,[4],3
13118,11455,0.148507669,17.82092028,0,[4],3
11455,13118,0.148507669,17.82092028,0,[4],3
11455,99378,0.096312505,11.5575006,0,[4],3
99378,11455,0.096312505,11.5575006,0,[4],3
99378,11452,0.106875812,12.82509744,0,[4],3
11452,99378,0.106875812,12.82509744,0,[4],3
11452,13467,0.129245168,15.50942016,0,[4],3
13467,11452,0.129245168,15.50942016,0,[4],3
13467,13116,0.101283473,12.15401676,0,[4],3
13116,13467,0.101283473,12.15401676,0,[4],3
13116,11056,0.170877025,20.505243,0,[4],3
11056,13116,0.170877025,20.505243,0,[4],3
99259,40981,0.069593552,8.35122624,0,[856],3
40981,99259,0.069593552,8.35122624,0,[856],3
40981,40380,0.065865326,7.90383912,0,[856],3
40380,40981,0.065865326,7.90383912,0,[856],3
40380,11463,0.159692347,19.16308164,0,[856],3
11463,40380,0.159692347,19.16308164,0,[856],3
11463,11458,0.137944362,16.55332344,0,"[856, 936]",3
11458,11463,0.137944362,16.55332344,0,"[856, 936]",3
11458,40364,0.120545974,14.46551688,0,"[856, 936]",3
40364,11458,0.120545974,14.46551688,0,"[856, 936]",3
40364,10705,0.144158072,17.29896864,0,"[856, 936]",3
10705,40364,0.144158072,17.29896864,0,"[856, 936]",3
10705,11441,0.168391541,20.20698492,0,"[856, 936]",3
11441,10705,0.168391541,20.20698492,0,"[856, 936]",3
11441,13088,0.063379842,7.60558104,0,"[856, 917, 936]",3
13088,11441,0.063379842,7.60558104,0,"[856, 917, 936]",3
13088,12963,0.21126614,25.3519368,0,"[856, 917, 936]",3
12963,13088,0.21126614,25.3519368,0,"[856, 917, 936]",3
10692,40918,0.120545974,14.46551688,0,"[856, 916, 936]",3
40918,10692,0.120545974,14.46551688,0,"[856, 916, 936]",3
40918,10701,0.129866539,15.58398468,0,"[856, 936]",3
10701,40918,0.129866539,15.58398468,0,"[856, 936]",3
10701,10708,0.148507669,17.82092028,0,"[856, 936]",3
10708,10701,0.148507669,17.82092028,0,"[856, 936]",3
10708,40130,0.162799202,19.53590424,0,"[856, 936]",3
40130,10708,0.162799202,19.53590424,0,"[856, 936]",3
40130,10313,0.173362509,20.80350108,0,"[856, 936]",3
10313,40130,0.173362509,20.80350108,0,"[856, 936]",3
10313,10724,0.150371782,18.04461384,0,"[856, 936]",3
10724,10313,0.150371782,18.04461384,0,"[856, 936]",3
10724,40021,0.134216136,16.10593632,0,[856],3
40021,10724,0.134216136,16.10593632,0,[856],3
40021,99258,0.139808475,16.777017,0,[856],3
99258,40021,0.139808475,16.777017,0,[856],3
12235,11798,0.152235895,18.2683074,0,[916],3
11798,12235,0.152235895,18.2683074,0,[916],3
11798,11062,0.083885085,10.0662102,0,[916],3
11062,11798,0.083885085,10.0662102,0,[916],3
11062,11793,0.122410087,14.68921044,0,[916],3
11793,11062,0.122410087,14.68921044,0,[916],3
11793,11058,0.190760897,22.89130764,0,[916],3
11058,11793,0.190760897,22.89130764,0,[916],3
40918,11797,0.141672588,17.00071056,0,[916],3
11797,40918,0.141672588,17.00071056,0,[916],3
11797,11796,0.122410087,14.68921044,0,[916],3
11796,11797,0.122410087,14.68921044,0,[916],3
11796,11795,0.119924603,14.39095236,0,[916],3
11795,11796,0.119924603,14.39095236,0,[916],3
11795,12236,0.132352023,15.88224276,0,[916],3
12236,11795,0.132352023,15.88224276,0,[916],3
12236,12235,0.080156859,9.61882308,0,[916],3
12235,12236,0.080156859,9.61882308,0,[916],3
12965,12967,0.14912904,17.8954848,0,[917],3
12967,12965,0.14912904,17.8954848,0,[917],3
12967,12576,0.142293959,17.07527508,0,[917],3
12576,12967,0.142293959,17.07527508,0,[917],3
12576,12969,0.079535488,9.54425856,0,[917],3
12969,12576,0.079535488,9.54425856,0,[917],3
12969,12574,0.129245168,15.50942016,0,[917],3
12574,12969,0.129245168,15.50942016,0,[917],3
12574,12968,0.154100008,18.49200096,0,[917],3
12968,12574,0.154100008,18.49200096,0,[917],3
12968,12575,0.185789929,22.29479148,0,[917],3
12575,12968,0.185789929,22.29479148,0,[917],3
12575,11441,0.180818961,21.69827532,0,[917],3
11441,12575,0.180818961,21.69827532,0,[917],3
11083,12975,0.150371782,18.04461384,0,[936],3
12975,11083,0.150371782,18.04461384,0,[936],3
12975,12974,0.202566946,24.30803352,0,[936],3
12974,12975,0.202566946,24.30803352,0,[936],3
12974,12581,0.183925816,22.07109792,0,[936],3
12581,12974,0.183925816,22.07109792,0,[936],3
12581,99251,0.155964121,18.71569452,0,[936],3
99251,12581,0.155964121,18.71569452,0,[936],3
99251,12579,0.128002426,15.36029112,0,[936],3
12579,99251,0.128002426,15.36029112,0,[936],3
12579,12582,0.141051217,16.92614604,0,[936],3
12582,12579,0.141051217,16.92614604,0,[936],3
12582,12583,0.176469364,21.17632368,0,[936],3
12583,12582,0.176469364,21.17632368,0,[936],3
12583,11463,0.091962908,11.03554896,0,[936],3
11463,12583,0.091962908,11.03554896,0,[936],3
10724,11806,0.210023398,25.20280776,0,[936],3
11806,10724,0.210023398,25.20280776,0,[936],3
11806,12242,0.207537914,24.90454968,0,[936],3
12242,11806,0.207537914,24.90454968,0,[936],3
12242,11805,0.106254441,12.75053292,0,[936],3
11805,12242,0.106254441,12.75053292,0,[936],3
11805,12243,0.131109281,15.73311372,0,[936],3
12243,11805,0.131109281,15.73311372,0,[936],3
12243,12244,0.222450818,26.69409816,0,[936],3
12244,12243,0.222450818,26.69409816,0,[936],3
12244,11807,0.123031458,14.76377496,0,[936],3
11807,12244,0.123031458,14.76377496,0,[936],3
11807,11808,0.072700407,8.72404884,0,[936],3
11808,11807,0.072700407,8.72404884,0,[936],3
11808,99252,0.078292746,9.39512952,0,[936],3
99252,11808,0.078292746,9.39512952,0,[936],3
75040,75038,0.923357306,110.8028767,0,[520],0
75038,75040,0.923357306,110.8028767,0,[520],0
75039,75041,0.92584279,111.1011348,0,[520],0
75041,75039,0.92584279,111.1011348,0,[520],0
